"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"SPICEPREFIX";"VALUE";
"BUZZ1";"CSET8-5G";"CSET8-5G";"CSET8-5G_PACKAGE";"";"";"";"";"";"";"";"";"";"";
"C1";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C2";"100nF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"C5";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C6";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C7";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-00810";"";"0.1uF";
"CONN1";"FTDI HEADER";"6_PIN_SERIAL_TARGET";"1X06";"6-pin header connection for use with the "FTDI BASIC" pinout - TARGET SIDE.";"";"";"";"";"";"";"";"";"";
"D1";"1N4148W";"CGRM4001-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"";"";"";
"LD11173.3V";"LD1117 3.3V";"LD1117-3.3";"SOT223";"";"Unavailable";"Sot223/Pkg 1-Amp 5-Volt Low Drop Out Voltage Regulatator";"Advanced Monolithic Systems";"AMS1117-5.0";"None";"None";"";"";"";
"LED1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";"";
"Q1";"5.8A/30V/35mO";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"";"";"";"";"";"";"TRANS-12988";"";"5.8A/30V/35mO";
"Q2";"5.8A/30V/35mO";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"";"";"";"";"";"";"TRANS-12988";"";"5.8A/30V/35mO";
"R1";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R2";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R3";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R4";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R5";"12K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R6";"15K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R7";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R8";"470R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R9";"12K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R10";"15K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R12";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R13";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R14";"4K7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"S1+";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";"";"";"";"";"";"";"";"";
"S1-";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";"";"";"";"";"";"";"";"";
"S2+";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";"";"";"";"";"";"";"";"";
"S2-";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";"";"";"";"";"";"";"";"";
"SOL1";"SX70-SOLENOID1-2PADS";"SX70-SOLENOID1-2PADS";"SX70-SOLENOID1-2";"";"";"";"";"";"";"";"";"";"";
"SOL2+";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";"";"";"";"";"";"";"";"";
"SOL2-";"SX70-S-PAD-NEW";"SX70-S-PAD-NEW";"SX70-S-PAD2";"";"";"";"";"";"";"";"";"";"";
"U$1";"SX70-7-PAD";"SX70-7-PAD";"SX70-7-PAD";"";"";"";"";"";"";"";"";"";"";
"U$2";"FFA";"SX70-FFA-PAD";"FFA-PAD-PACKAGE";"";"";"";"";"";"";"";"";"";"";
"U1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"Popular 328P in QFP";"";"";"";"";"";"";"IC-09069";"";"ATMEGA328P_TQFP";
"U3";"BH1750FVI-TR";"BH1750FVI-TR";"SOTFL50P300X75-6N";"Light to Digital Ambient Light Sensor Digital O/P 1lux to 65535lux 6-Pin WSOF Embossed T/R";"Good";"Light to Digital Ambient Light Sensor Digital O/P 1lux to 65535lux 6-Pin WSOF Embossed T/R";"Rohm";"BH1750FVI-TR";"SMD-6 Rohm";"2.38 USD";"";"";"";
"Y1";"CSTCE16M0V53-R0";"CSTCE16M0V53-R0";"CFP95P160X100-3N";"Ceramic Resonator 16MHz ±0.5% (Tol) ±0.3% (Stability) 15pF 40Ohm 3-Pin CSMD T/R";"Good";" Ceramic Resonator 16MHz ??0.5% (Tol) ??0.3% (Stability) 15pF 40Ohm 3-Pin CSMD T/R ";"Murata";"CSTCE16M0V53-R0";"SMD-3 Murata";"0.28 USD";"";"";"";
